0.0	2688
84.0	4928
88.0	2112
128.0	6168
135.0	1344
136.0	336
143.0	336
144.0	192
147.0	864
156.0	96
168.0	4800
176.0	960
180.0	480
192.0	720
204.0	192
216.0	384
228.0	1056
240.0	576
248.0	480
250.0	192
252.0	1408
255.0	3096
256.0	3000
264.0	288
270.0	1344
272.0	336
282.0	192
283.0	96
286.0	336
294.0	672
297.0	96
304.0	288
305.0	96
332.0	288
336.0	1984
360.0	192
361.0	288
405.0	960
408.0	528
429.0	240
441.0	480
456.0	96
460.0	192
476.0	288
478.0	192
484.0	96
488.0	288
499.0	192
504.0	1280
510.0	1512
512.0	288
540.0	288
544.0	72
547.0	96
550.0	96
572.0	72
588.0	144
672.0	384
