0.0	1920
36.0	448
42.0	96
54.0	224
72.0	320
84.0	208
92.0	96
96.0	32
104.0	48
108.0	208
120.0	16
126.0	96
138.0	32
144.0	32
156.0	304
162.0	128
168.0	32
180.0	16
184.0	48
214.0	128
216.0	256
238.0	128
252.0	240
260.0	96
288.0	48
298.0	128
321.0	64
324.0	112
330.0	48
333.0	48
339.0	24
342.0	112
345.0	24
348.0	224
351.0	24
357.0	64
360.0	72
363.0	24
366.0	88
372.0	128
374.0	48
378.0	96
390.0	32
423.0	24
426.0	48
429.0	24
432.0	48
435.0	48
438.0	48
447.0	64
468.0	80
490.0	128
510.0	256
522.0	80
528.0	32
540.0	48
558.0	16
576.0	16
594.0	16
633.0	24
640.0	48
645.0	24
654.0	24
660.0	72
672.0	48
684.0	48
735.0	64
765.0	512
810.0	32
864.0	16
