0.0	2688
82.0	2400
83.0	1632
86.0	2112
94.0	896
126.0	6144
142.0	192
154.0	96
155.0	192
157.0	2688
165.0	1872
166.0	48
173.0	960
189.0	2880
201.0	576
213.0	864
219.0	96
225.0	288
248.0	384
249.0	96
251.0	3072
252.0	2976
258.0	192
260.0	96
268.0	288
271.0	192
272.0	480
281.0	192
284.0	1216
293.0	96
304.0	96
308.0	96
315.0	2688
318.0	96
320.0	672
347.0	288
355.0	288
367.0	288
379.0	1984
384.0	144
385.0	144
426.0	480
436.0	24
437.0	24
472.0	1920
503.0	1488
505.0	192
521.0	384
528.0	96
533.0	288
557.0	288
565.0	192
567.0	192
569.0	1280
613.0	96
630.0	576
638.0	96
758.0	354
759.0	30
