0.0	10560
5.0	784
7.0	168
11.0	2520
15.0	168
17.0	560
23.0	2024
31.0	36
33.0	768
34.0	120
35.0	2656
46.0	36
47.0	336
53.0	480
57.0	288
71.0	288
82.0	576
94.0	576
99.0	240
100.0	432
102.0	72
103.0	144
104.0	360
106.0	1536
111.0	384
112.0	480
114.0	480
116.0	288
118.0	648
121.0	216
122.0	360
123.0	456
125.0	144
130.0	960
132.0	576
138.0	576
140.0	288
141.0	480
148.0	360
149.0	144
150.0	216
152.0	432
153.0	144
154.0	144
163.0	48
165.0	96
176.0	48
181.0	144
193.0	24
210.0	96
212.0	432
213.0	96
214.0	24
223.0	744
225.0	960
233.0	480
245.0	168
246.0	432
247.0	312
251.0	3072
256.0	144
260.0	240
264.0	360
268.0	360
271.0	72
273.0	216
277.0	144
282.0	744
284.0	96
300.0	144
308.0	48
328.0	96
330.0	96
331.0	192
332.0	48
339.0	144
343.0	96
349.0	96
352.0	48
353.0	96
355.0	288
361.0	96
365.0	96
370.0	96
371.0	288
373.0	96
379.0	96
385.0	144
391.0	264
401.0	48
402.0	48
403.0	192
405.0	48
409.0	48
412.0	48
422.0	96
424.0	744
426.0	144
436.0	24
437.0	24
445.0	48
450.0	192
470.0	144
490.0	144
497.0	24
498.0	120
501.0	144
503.0	1488
545.0	144
580.0	144
604.0	96
657.0	96
679.0	144
681.0	48
683.0	144
699.0	48
717.0	144
742.0	96
756.0	96
790.0	48
828.0	48
